u_node_id,v_node_id
1,13
1,2
10,11
10,21
10,22
10,9
100,111
100,112
100,87
100,88
100,99
101,102
101,112
101,113
101,88
101,89
102,113
102,114
102,89
102,90
103,104
103,114
103,115
103,90
103,91
104,115
104,91
105,106
105,116
105,117
105,92
105,93
106,107
106,117
106,118
106,93
106,94
107,118
107,119
107,94
107,95
108,119
108,120
108,95
108,96
109,121
109,122
109,97
109,98
110,111
110,122
110,123
110,98
110,99
111,112
111,123
111,124
111,99
112,124
112,125
113,125
113,126
114,126
114,127
115,116
115,127
115,128
116,117
116,129
117,118
117,129
117,130
118,130
118,131
119,120
119,131
119,132
12,24
120,132
121,122
122,123
123,124
125,126
127,128
128,139
129,130
13,2
13,25
13,26
130,131
132,144
134,135
135,136
139,140
14,15
14,26
14,27
14,3
140,141
141,142
143,144
15,16
15,27
15,28
15,3
15,4
16,28
16,29
16,4
17,29
17,30
17,5
17,6
18,30
18,31
19,20
19,31
19,32
19,8
2,3
20,21
20,33
20,9
21,22
21,33
21,34
22,34
22,35
23,24
23,35
23,36
24,36
25,26
26,27
27,28
29,30
3,4
31,32
32,43
33,34
33,44
34,35
34,45
34,46
36,48
38,39
39,40
43,44
43,56
44,45
44,57
45,46
45,58
46,58
47,48
48,60
49,50
49,61
5,6
50,51
50,61
50,62
51,52
51,62
51,63
52,63
52,64
53,54
53,64
53,65
54,65
54,66
55,56
55,66
55,67
56,67
56,68
57,58
57,68
57,69
58,59
58,69
58,70
59,70
59,71
60,71
60,72
62,63
63,64
67,68
67,80
68,69
69,70
7,8
71,72
72,84
73,74
73,85
74,75
74,85
74,86
75,76
75,86
75,87
76,87
76,88
77,78
77,88
77,89
78,89
78,90
79,80
79,90
79,91
80,91
81,82
81,92
81,93
82,83
82,93
82,94
83,94
83,95
84,95
84,96
85,97
85,98
86,87
86,98
86,99
87,88
87,99
91,92
92,93
93,94
95,96
97,98
98,99
